Name,Assign,Priority,Status
Chuẩn bị chương trình văn nghệ cho khai giảng,,Low,Cancel
Viết thông cáo báo chí,,Medium,Cancel
Tìm MC cho chương trình khai giảng,,Medium,Done
Ký kế hoạch chương trình,,High,Done
Viết timeline cho buổi khai giảng,,High,Done
Tạo trò chơi cho buổi khai giảng,,Medium,Done
Script MC,,Medium,Done
Xin phòng học,,High,Done
Xin phòng hội trường,,High,Done
"Chuẩn bị backdrop, standee, hashtag",,High,Done
Thẻ học sinh,,,Done
Chuẩn bị video giới thiệu CLB để phát vào khai giảng,,Medium,Done
Kế hoạch cho chương trình khai giảng,,High,Done
Chuẩn bị sản phẩm demo,,,Done
